fecha,twobe,amz,unempl,federal_funds,apparel_retailers,test_10y,gdp,inflation,consumer_discretionary,luxury,fed_mp
2020-05-01,981.483870967742,119.7092007,0.133,0.0005,783.1,0.0066688,-0.317,0.001,956.7950000000001,2391.897142857143,0.0025
2020-06-01,1072.3333333333333,130.67727286363638,0.111,0.0007681818181818182,840.8181818181819,0.0072656,-0.314,0.006,1039.3395454545455,2698.711818181818,0.0025
2020-07-01,901.516129032258,152.69265677272728,0.102,0.0009363636363636363,805.2727272727273,0.006167916666666666,0.331,0.01,1116.9077272727272,2902.2013043478264,0.0025
2020-08-01,1089.5483870967741,162.46273657142856,0.084,0.0009476190476190476,859.1904761904761,0.006445769230769231,0.331,0.013,1200.8738095238095,3054.3980952380953,0.0025
2020-09-01,1202.0333333333333,158.03740295238094,0.079,0.0009,873.8571428571429,0.00676375,0.334,0.014,1203.8904761904762,3186.475454545455,0.0025
2020-10-01,1273.2903225806451,161.53002372727272,0.069,0.0009,898.0909090909091,0.007727500000000001,0.04,0.012,1238.5272727272727,3239.7572727272727,0.0025
2020-11-01,1294.2333333333333,157.0904,0.067,0.000868421052631579,974.4,0.008647307692307692,0.041,0.012,1245.639,3588.339523809524,0.0025
2020-12-01,1297.1935483870968,159.8875004090909,0.067,0.0008999999999999999,1074.6818181818182,0.009268,0.043,0.014,1280.609090909091,3932.384347826087,0.0025
2021-01-01,1552.7096774193549,160.00242063157893,0.063,0.0008526315789473684,1099.421052631579,0.010656249999999999,0.064,0.014,1337.6284210526314,4055.244,0.0025
2021-02-01,1574.9642857142858,163.1934212105263,0.062,0.0007578947368421053,1134.421052631579,0.012558695652173912,0.064,0.017,1355.5952631578948,4205.4235,0.0025
2021-03-01,2046.1935483870968,153.41363130434783,0.06,0.0006956521739130436,1166.9130434782608,0.016143703703703702,0.064,0.026,1313.7634782608695,4272.920434782609,0.0025
2021-04-01,1865.5666666666666,167.60871376190477,0.061,0.0006863636363636364,1240.4285714285713,0.016227692307692308,0.065,0.042,1414.6461904761904,4489.364545454546,0.0025
2021-05-01,1775.5483870967741,162.3129997,0.058,0.0005949999999999999,1257.6,0.0161384,0.066,0.05,1376.4215,4538.141904761905,0.0025
2021-06-01,1564.8333333333333,168.38627136363635,0.059,0.0007727272727272728,1194.1363636363637,0.015108846153846155,0.067,0.054,1393.545909090909,4716.749545454546,0.0025
2021-07-01,1627.258064516129,180.80030971428573,0.054,0.0009857142857142857,1227.2857142857142,0.013136799999999999,0.02,0.054,1460.169523809524,4649.420454545455,0.0025
2021-08-01,1622.0,165.64588718181818,0.052,0.0009318181818181819,1285.5,0.0128064,0.021,0.053,1439.465,4626.701363636364,0.0025
2021-09-01,1557.0333333333333,171.3591431904762,0.048,0.0007904761904761905,1216.904761904762,0.0137064,0.023,0.054,1461.767619047619,4533.517727272727,0.0025
2021-10-01,1615.1290322580646,166.7103103809524,0.046,0.000795,1129.8095238095239,0.0157816,0.069,0.062,1497.4090476190477,4623.269523809524,0.0025
2021-11-01,1599.1666666666667,175.8809276190476,0.042,0.000795,1210.047619047619,0.015551923076923076,0.07,0.068,1633.8880952380953,5045.598636363637,0.0025
2021-12-01,1566.2903225806451,170.8624788181818,0.039,0.0007956521739130435,1204.0,0.01457,0.069,0.07,1591.7786363636362,4873.154782608695,0.0025
2022-01-01,1457.7096774193549,155.48084875,0.04,0.0008,1151.05,0.01759,-0.014,0.075,1511.4035,4704.786666666667,0.0025
2022-02-01,1903.5,153.78381510526316,0.038,0.0008,1096.1052631578948,0.019296818181818182,-0.015,0.079,1428.3231578947368,4526.325,0.0025
2022-03-01,2038.4516129032259,154.2804798695652,0.036,0.001995652173913044,1000.1304347826087,0.021211481481481484,-0.016,0.085,1395.9847826086955,4105.936086956522,0.005
2022-04-01,2011.4,151.3087002,0.036,0.0033,1034.65,0.027407916666666667,-0.009,0.083,1403.863,4158.372857142857,0.005
2022-05-01,1821.3548387096773,112.47304780952382,0.036,0.007585714285714286,953.6190476190476,0.02905307692307692,-0.006,0.086,1177.5261904761905,3637.628181818182,0.01
2022-06-01,1575.5,112.86309523809524,0.036,0.011871428571428573,885.0,0.0313008,-0.006,0.091,1133.0066666666667,3550.5004545454544,0.0175
